spark.executor.cores,spark.executor.memory,spark.default.parallelism,spark.serializer,spark.task.cpus,executorDeserializeTime,executorDeserializeCpuTime,executorRunTime,resultSize,jvmGcTime,Execution_Time
7,6,29,0,2,375.36,52756882.5375,881.7424999999996,1133.19,251.35,40424
7,6,37,0,1,373.3925,50407008.07749997,1364.3075,1141.09,234.2,39742
6,6,16,1,2,390.4425,56911994.96749999,852.4074999999999,1302.3825,205.35,41370
6,7,31,0,2,363.58,62579152.06249999,849.0325,1137.8575,219.55999999999997,42098
5,1,10,1,2,363.9725,57727292.3325,7255.634999999997,1318.9675,1025.0025,384288
6,1,38,1,1,363.49,48148685.322500005,13819.375,1303.6525,2398.797499999999,440565
7,12,15,1,2,342.1775,48875830.83749999,810.53,1305.3075,189.96749999999997,48824
6,5,17,0,2,366.9475,57735875.71499996,1475.9924999999996,1138.8375,259.05499999999995,52996
2,1,31,1,1,871.3349999999995,109209630.96249986,14205.877499999988,1323.9399999999998,306.25999999999976,435693
7,10,40,0,1,385.79,46325023.2875,948.385,1139.4775,198.89499999999995,31703
5,9,22,0,2,365.665,66300766.80999999,745.5624999999997,1124.4249999999995,144.46749999999972,47276
1,5,40,1,1,655.26,75911032.37499996,706.9799999999998,1304.225,101.39499999999992,56237
7,3,17,0,1,359.63,45673334.64499999,1084.4675,1132.7575000000002,252.1649999999999,33424
3,7,11,0,2,356.2275,70059987.47999999,614.2249999999997,1121.91,75.44249999999985,68724
5,8,38,1,1,356.01750000000004,51258090.17,1166.15,1309.8249999999998,302.32499999999993,36699
4,1,15,1,1,344.3225,45892494.91999997,11343.3375,1297.17,2000.9725,337543
7,5,48,1,2,315.4475,44520783.13999999,1065.8574999999998,1309.5825,223.33999999999983,47726
6,3,49,1,2,375.685,52308003.22999995,1013.435,1317.8025,150.105,46448
1,4,49,0,1,1075.1725,117060240.86499998,783.0799999999998,1132.2025,96.1099999999998,58003
2,4,36,0,2,1013.53,122005540.73499998,978.6874999999995,1133.3375,184.56499999999977,57857
7,12,16,1,2,354.5825,48685916.09249997,896.8799999999999,1301.4775000000002,230.34250000000003,40216
3,8,26,1,1,379.56,56444365.989999965,855.5799999999997,1302.835,244.9,42002
7,1,36,1,2,356.4525,43356365.23,8771.8475,1318.0925,1413.0074999999997,306932
3,11,15,0,2,353.6925,72663475.78,606.2574999999997,1128.2975,81.75999999999996,66116
7,1,24,1,2,353.4575,51326586.55499999,9358.222499999998,1307.69,1564.9675,319198
1,9,45,1,1,355.5575,53096676.825,643.2349999999999,1297.5400000000002,73.01749999999993,71497
3,6,21,1,1,725.365,79434002.27499995,1121.3849999999998,1307.3100000000002,231.6275,41766
6,7,12,0,2,370.9725,62014303.43499999,906.7124999999996,1133.5724999999998,253.7775,40127
3,9,45,0,2,353.25499999999994,67824647.6575,593.29,1135.98,59.69249999999995,67136
2,10,12,0,1,364.7675,59713908.14,1281.5375,1130.02,158.25499999999982,60916
2,10,31,1,2,349.885,56145211.039999984,548.4925,1300.72,64.34999999999997,67821
6,3,11,1,1,353.515,44415123.24499999,1134.4025,1322.34,215.175,34449
6,2,8,1,1,367.5075,45601055.31749999,1099.11,1371.3375,222.11,34042
2,11,33,0,2,348.52,65435455.86999999,619.4274999999998,1129.895,71.22499999999988,68306
